Date,High,Low,Open,Close,Volume,Adj Close,10 D M.A.
2020-05-04,1451.239990234375,1404.1400146484375,1426.47998046875,1421.719970703125,24670336.0,1416.401611328125,
2020-05-05,1465.1099853515625,1433.6099853515625,1440.050048828125,1446.9300537109375,20723079.0,1441.5174560546875,
2020-05-06,1471.010009765625,1431.9300537109375,1450.25,1447.030029296875,18685710.0,1441.616943359375,
2020-05-07,1499.43994140625,1431.4300537109375,1441.3399658203125,1492.800048828125,23087436.0,1487.2158203125,
2020-05-08,1565.06005859375,1522.6700439453125,1530.489990234375,1547.1300048828125,38887255.0,1541.342529296875,
2020-05-11,1599.8399658203125,1557.5400390625,1565.1600341796875,1561.989990234375,30959745.0,1556.14697265625,
2020-05-12,1553.6199951171875,1451.239990234375,1550.1099853515625,1465.3599853515625,46465281.0,1459.87841796875,
2020-05-13,1527.0,1454.0,1527.0,1496.449951171875,30657492.0,1490.85205078125,
2020-05-14,1496.699951171875,1430.050048828125,1469.0,1435.949951171875,22736607.0,1430.578369140625,
2020-05-15,1466.699951171875,1415.0999755859375,1444.0,1459.4000244140625,28683258.0,1453.940673828125,1477.4760009765625
2020-05-18,1482.0,1428.0,1470.0,1440.75,28980385.0,1435.3604736328125,1479.37900390625
2020-05-19,1461.699951171875,1403.25,1457.0,1408.9000244140625,19528760.0,1403.629638671875,1475.5760009765625
2020-05-20,1446.8499755859375,1393.0,1410.0,1433.699951171875,25530626.0,1428.3367919921875,1474.2429931640625
2020-05-21,1461.449951171875,1425.0,1435.0,1441.25,18076017.0,1435.858642578125,1469.08798828125
2020-05-22,1458.0,1426.5,1451.800048828125,1431.550048828125,17458065.0,1426.1949462890625,1457.5299926757812
2020-05-26,1449.699951171875,1416.300048828125,1448.1500244140625,1424.050048828125,15329472.0,1418.7230224609375,1443.7359985351563
2020-05-27,1454.0,1412.0,1431.0,1445.550048828125,16460756.0,1440.142578125,1441.7550048828125
2020-05-28,1479.75,1449.0,1455.0,1472.25,18518271.0,1466.74267578125,1439.335009765625
2020-05-29,1472.0,1452.6500244140625,1468.0,1464.4000244140625,18470390.0,1458.9219970703125,1442.1800170898437
2020-06-01,1538.3499755859375,1475.949951171875,1480.0,1520.3499755859375,18434012.0,1514.6627197265625,1448.2750122070313
2020-06-02,1540.0,1520.800048828125,1526.0,1535.699951171875,10224049.0,1529.9552001953125,1457.7700073242188
2020-06-03,1560.0,1533.3499755859375,1545.0,1541.6500244140625,11713461.0,1535.883056640625,1471.0450073242187
2020-06-04,1589.5,1541.0,1544.0,1579.800048828125,15784379.0,1573.890380859375,1485.6550170898438
2020-06-05,1618.0,1573.699951171875,1595.0,1581.699951171875,15264885.0,1575.783203125,1499.7000122070312
2020-06-08,1618.4000244140625,1565.0,1618.4000244140625,1569.5,14497996.0,1563.6287841796875,1513.4950073242187
2020-06-09,1583.0,1533.0,1560.300048828125,1537.1500244140625,11933076.0,1531.39990234375,1524.8050048828125
2020-06-10,1579.550048828125,1540.050048828125,1543.0999755859375,1572.1500244140625,10214213.0,1566.2689208984375,1537.4650024414063
2020-06-11,1567.949951171875,1531.0,1566.0,1537.699951171875,9408046.0,1531.94775390625,1544.0099975585938
2020-06-12,1593.0,1497.0,1500.0,1588.800048828125,17790311.0,1582.856689453125,1556.45
2020-06-15,1626.949951171875,1561.0999755859375,1565.0,1614.550048828125,24509058.0,1608.5103759765625,1565.8700073242187
2020-06-16,1648.550048828125,1585.300048828125,1643.0,1617.699951171875,23622794.0,1611.6484375,1574.0700073242188
2020-06-17,1635.449951171875,1602.0999755859375,1608.25,1615.3499755859375,19282411.0,1609.3072509765625,1581.4400024414062
2020-06-18,1665.0,1605.5999755859375,1607.0,1655.9000244140625,18677617.0,1649.7056884765625,1589.05
2020-06-19,1788.800048828125,1662.0,1670.0,1759.4000244140625,48828609.0,1752.8184814453125,1606.8200073242188
2020-06-22,1804.199951171875,1735.0,1773.4000244140625,1746.1500244140625,27781693.0,1739.6180419921875,1624.485009765625
2020-06-23,1763.75,1716.0999755859375,1750.0,1720.9000244140625,17519493.0,1714.4625244140625,1642.860009765625
2020-06-24,1772.699951171875,1711.699951171875,1735.9000244140625,1727.8499755859375,23807033.0,1721.386474609375,1658.4300048828125
2020-06-25,1749.0,1713.050048828125,1727.0,1717.9000244140625,18312025.0,1711.4737548828125,1676.4500122070312
2020-06-26,1752.0,1717.0,1728.800048828125,1741.6500244140625,14270458.0,1735.1348876953125,1691.735009765625
2020-06-29,1739.75,1715.550048828125,1728.050048828125,1723.1500244140625,11824524.0,1716.7041015625,1702.5950073242188
