,Company Names,Tickers
905,Mastek Limited,MASTEK.NS
906,Matrimony.Com Limited,MATRIMONY.NS
907,Mawana Sugars Limited,MAWANASUG.NS
908,Max India Limited,MAXINDIA.NS
909,Max Ventures and Industries Limited,MAXVIL.NS
910,Mayur Uniquoters Ltd,MAYURUNIQ.NS
911,Mazda Limited,MAZDA.NS
912,Madhya Bharat Agro Products Limited,MBAPL.NS
913,Mcnally Bharat Engineering Company Limited,MBECL.NS
914,MBL Infrastructures Limited,MBLINFRA.NS
915,McDowell Holdings Limited,MCDHOLDING.NS
916,United Spirits Limited,MCDOWELL-N.NS
917,Mcleod Russel India Limited,MCLEODRUSS.NS
918,Multi Commodity Exchange of India Limited,MCX.NS
919,Megasoft Limited,MEGASOFT.NS
920,Meghmani Organics Limited,MEGH.NS
921,Melstar Information Technologies Limited,MELSTAR.NS
922,Menon Bearings Limited,MENONBE.NS
923,MEP Infrastructure Developers Limited,MEP.NS
924,Mercator Limited,MERCATOR.NS
925,Metalyst Forgings Limited,METALFORGE.NS
926,Metkore Alloys & Industries Limited,METKORE.NS
927,Metropolis Healthcare Limited,METROPOLIS.NS
928,Max Financial Services Limited,MFSL.NS
929,Mahanagar Gas Limited,MGL.NS
930,Mahindra Holidays & Resorts India Limited,MHRIL.NS
931,MIC Electronics Limited,MIC.NS
932,Mishra Dhatu Nigam Limited,MIDHANI.NS
933,Minda Corporation Limited,MINDACORP.NS
934,Minda Industries Limited,MINDAIND.NS
935,Mindteck (India) Limited,MINDTECK.NS
936,MindTree Limited,MINDTREE.NS
937,MIRC Electronics Limited,MIRCELECTR.NS
938,Mirza International Limited,MIRZAINT.NS
939,MM Forgings Limited,MMFL.NS
940,MMTC Limited,MMTC.NS
941,Modi Rubber Limited,MODIRUBBER.NS
942,Mohit Industries Limited,MOHITIND.NS
943,Mohota Industries Limited,MOHOTAIND.NS
944,MOIL Limited,MOIL.NS
945,Mold-Tek Technologies Limited,MOLDTECH.NS
946,Mold-Tek Packaging Limited,MOLDTKPAC.NS
947,Monte Carlo Fashions Limited,MONTECARLO.NS
948,Morarjee Textiles Limited,MORARJEE.NS
949,Morepen Laboratories Limited,MOREPENLAB.NS
950,Motherson Sumi Systems Limited,MOTHERSUMI.NS
951,Motilal Oswal Financial Services Limited,MOTILALOFS.NS
952,The Motor & General Finance Limited,MOTOGENFIN.NS
953,MphasiS Limited,MPHASIS.NS
954,MPS Limited,MPSLTD.NS
955,MRF Limited,MRF.NS
956,MRO-TEK Realty Limited,MRO-TEK.NS
957,Mangalore Refinery and Petrochemicals Limited,MRPL.NS
958,MSP Steel & Power Limited,MSPL.NS
959,Mstc Limited,MSTCLTD.NS
960,MT Educare Limited,MTEDUCARE.NS
961,Mahanagar Telephone Nigam Limited,MTNL.NS
962,Mukand Engineers Limited,MUKANDENGG.NS
963,Mukand Limited,MUKANDLTD.NS
964,Mukta Arts Limited,MUKTAARTS.NS
965,Munjal Auto Industries Limited,MUNJALAU.NS
