,Company Names,Tickers
1315,Shriram City Union Finance Limited,SHRIRAMCIT.NS
1316,Shriram EPC Limited,SHRIRAMEPC.NS
1317,Shyam Century Ferrous Limited,SHYAMCENT.NS
1318,Shyam Telecom Limited,SHYAMTEL.NS
1319,Sicagen India Limited,SICAGEN.NS
1320,Sical Logistics Limited,SICAL.NS
1321,Siemens Limited,SIEMENS.NS
1322,Signet Industries Limited,SIGIND.NS
1323,Standard Industries Limited,SIL.NS
1324,SIL Investments Limited,SILINV.NS
1325,Simbhaoli Sugars Limited,SIMBHALS.NS
1326,Simplex Infrastructures Limited,SIMPLEXINF.NS
1327,Sintex Industries Limited,SINTEX.NS
1328,Sirca Paints India Limited,SIRCA.NS
1329,Security and Intelligence Services (India) Limited,SIS.NS
1330,Siti Networks Limited,SITINET.NS
1331,Siyaram Silk Mills Limited,SIYSIL.NS
1332,SJVN Limited,SJVN.NS
1333,SKF India Limited,SKFINDIA.NS
1334,SKIL Infrastructure Limited,SKIL.NS
1335,Skipper Limited,SKIPPER.NS
1336,SKM Egg Products Export (India) Limited,SKMEGGPROD.NS
1337,Smartlink Holdings Limited,SMARTLINK.NS
1338,SML Isuzu Limited,SMLISUZU.NS
1339,Splendid Metal Products Limited,SMPL.NS
1340,SMS Lifesciences India Limited,SMSLIFE.NS
1341,SMS Pharmaceuticals Limited,SMSPHARMA.NS
1342,Snowman Logistics Limited,SNOWMAN.NS
1343,Sobha Limited,SOBHA.NS
1344,Solara Active Pharma Sciences Limited,SOLARA.NS
1345,Solar Industries India Limited,SOLARINDS.NS
1346,Somany Ceramics Limited,SOMANYCERA.NS
1347,Soma Textiles & Industries Limited,SOMATEX.NS
1348,Somi Conveyor Beltings Limited,SOMICONVEY.NS
1349,Sonata Software Limited,SONATSOFTW.NS
1350,SORIL Infra Resources Limited,SORILINFRA.NS
1351,Savita Oil Technologies Limited,SOTL.NS
1352,The South Indian Bank Limited,SOUTHBANK.NS
1353,South West Pinnacle Exploration Limited,SOUTHWEST.NS
1354,S. P. Apparels Limited,SPAL.NS
1355,Spandana Sphoorty Financial Limited,SPANDANA.NS
1356,Sun Pharma Advanced Research Company Limited,SPARC.NS
1357,Spacenet Enterprises India Limited,SPCENET.NS
1358,Speciality Restaurants Limited,SPECIALITY.NS
1359,Spencer’s Retail Limited,SPENCERS.NS
1360,Spentex Industries Limited,SPENTEX.NS
1361,Southern Petrochemicals Industries Corporation  Limited,SPIC.NS
1362,SPICEJET LTD,SPICEJET.NS
1363,SPL Industries Limited,SPLIL.NS
1364,SPML Infra Limited,SPMLINFRA.NS
1365,Sintex Plastics Technology Limited,SPTL.NS
1366,Shekhawati Poly-Yarn Limited,SPYL.NS
1367,Sreeleathers Limited,SREEL.NS
1368,SREI Infrastructure Finance Limited,SREINFRA.NS
1369,SRF Limited,SRF.NS
1370,Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD.NS
1371,Srikalahasthi Pipes Limited,SRIPIPES.NS
1372,Shriram Transport Finance Company Limited,SRTRANSFIN.NS
1373,Steel Strips Wheels Limited,SSWL.NS
1374,Stampede Capital Limited,STAMPEDE.NS
1375,Strides Pharma Science Limited,STAR.NS
1376,Star Cement Limited,STARCEMENT.NS
1377,Star Paper Mills Limited,STARPAPER.NS
1378,The State Trading Corporation of India Limited,STCINDIA.NS
1379,Steel City Securities Limited,STEELCITY.NS
1380,STEEL EXCHANGE INDIA LIMITED,STEELXIND.NS
1381,Stel Holdings Limited,STEL.NS
1382,Sterling Tools Limited,STERTOOLS.NS
1383,STI India Limited,STINDIA.NS
1384,Sterlite Technologies Limited,STRTECH.NS
1385,International Constructions Limited,SUBCAPCITY.NS
1386,Subex Limited,SUBEX.NS
1387,Subros Limited,SUBROS.NS
1388,Sudarshan Chemical Industries Limited,SUDARSCHEM.NS
1389,Sujana Universal Industries Limited,SUJANAUNI.NS
1390,Sumeet Industries Limited,SUMEETINDS.NS
1391,Sumit Woods Limited,SUMIT.NS
1392,Summit Securities Limited,SUMMITSEC.NS
1393,Sundaram Clayton Limited,SUNCLAYLTD.NS
1394,Sundaram Multi Pap Limited,SUNDARAM.NS
1395,Sundaram Finance Limited,SUNDARMFIN.NS
1396,Sundaram Finance Holdings Limited,SUNDARMHLD.NS
1397,Sundaram Brake Linings Limited,SUNDRMBRAK.NS
1398,Sundram Fasteners Limited,SUNDRMFAST.NS
1399,Sunflag Iron And Steel Company Limited,SUNFLAG.NS
1400,Sun Pharmaceutical Industries Limited,SUNPHARMA.NS
1401,Sunteck Realty Limited,SUNTECK.NS
1402,Sun TV Network Limited,SUNTV.NS
1403,Superhouse Limited,SUPERHOUSE.NS
1404,Super Spinning Mills Limited,SUPERSPIN.NS
1405,Supreme Petrochem Limited,SUPPETRO.NS
1406,Suprajit Engineering Limited,SUPRAJIT.NS
1407,Supreme Industries Limited,SUPREMEIND.NS
1408,Supreme Infrastructure India Limited,SUPREMEINF.NS
1409,Surana Solar Limited,SURANASOL.NS
1410,Surana Telecom and Power Limited,SURANAT&P.NS
1411,Suryalakshmi Cotton Mills Limited,SURYALAXMI.NS
1412,Surya Roshni Limited,SURYAROSNI.NS
1413,Sutlej Textiles and Industries Limited,SUTLEJTEX.NS
1414,Suven Life Sciences Limited,SUVEN.NS
1415,Suzlon Energy Limited,SUZLON.NS
1416,Swan Energy Limited,SWANENERGY.NS
1417,Swaraj Engines Limited,SWARAJENG.NS
1418,Swelect Energy Systems Limited,SWELECTES.NS
1419,Sterling And Wilson Solar Limited,SWSOLAR.NS
1420,Symphony Limited,SYMPHONY.NS
1421,Syncom Healthcare Limited,SYNCOM.NS
1422,Syndicate Bank,SYNDIBANK.NS
1423,Syngene International Limited,SYNGENE.NS
1424,Tainwala Chemical and Plastic (I) Limited,TAINWALCHM.NS
1425,Taj GVK Hotels & Resorts Limited,TAJGVK.NS
1426,Take Solutions Limited,TAKE.NS
1427,Talbros Automotive Components Limited,TALBROAUTO.NS
1428,Talwalkars Better Value Fitness Limited,TALWALKARS.NS
1429,Talwalkars Healthclubs Limited,TALWGYM.NS
1430,Tanla Solutions Limited,TANLA.NS
1431,Tantia Constructions Limited,TANTIACONS.NS
1432,Tarapur Transformers Limited,TARAPUR.NS
1433,Tarmat Limited,TARMAT.NS
1434,Tasty Bite Eatables Limited,TASTYBITE.NS
1435,Tata Chemicals Limited,TATACHEM.NS
1436,Tata Coffee Limited,TATACOFFEE.NS
1437,Tata Communications Limited,TATACOMM.NS
1438,Tata Elxsi Limited,TATAELXSI.NS
1439,Tata Global Beverages Limited,TATAGLOBAL.NS
1440,Tata Investment Corporation Limited,TATAINVEST.NS
1441,Tata Metaliks Limited,TATAMETALI.NS
1442,Tata Motors Limited,TATAMOTORS.NS
1443,Tata Motors Limited,TATAMTRDVR.NS
1444,Tata Power Company Limited,TATAPOWER.NS
1445,Tata Steel Limited,TATASTEEL.NS
1446,Tata Steel Bsl Limited,TATASTLBSL.NS
1447,Tata Steel Long Products Limited,TATASTLLP.NS
1448,Tribhovandas Bhimji Zaveri Limited,TBZ.NS
1449,Transport Corporation of India Limited,TCI.NS
1450,TCI Developers Limited,TCIDEVELOP.NS
1451,TCI Express Limited,TCIEXP.NS
1452,TCI Finance Limited,TCIFINANCE.NS
1453,TCNS Clothing Co. Limited,TCNSBRANDS.NS
1454,TCPL Packaging Limited,TCPLPACK.NS
1455,Tata Consultancy Services Limited,TCS.NS
1456,TD Power Systems Limited,TDPOWERSYS.NS
1457,Teamlease Services Limited,TEAMLEASE.NS
1458,Techindia Nirman Limited,TECHIN.NS
1459,Tech Mahindra Limited,TECHM.NS
1460,Techno Electric & Engineering Company Limited,TECHNOE.NS
1461,Technofab Engineering Limited,TECHNOFAB.NS
1462,Tejas Networks Limited,TEJASNET.NS
1463,Tera Software Limited,TERASOFT.NS
1464,Texmaco Infrastructure & Holdings Limited,TEXINFRA.NS
1465,Texmo Pipes and Products Limited,TEXMOPIPES.NS
1466,Texmaco Rail & Engineering Limited,TEXRAIL.NS
1467,Texmaco Rail & Engineering Limited,TEXRAIL.NS
1468,Tourism Finance Corporation of India Limited,TFCILTD.NS
1469,Transwarranty Finance Limited,TFL.NS
1470,TGB Banquets And Hotels Limited,TGBHOTELS.NS
1471,TGB Banquets And Hotels Limited,TGBHOTELS.NS
1472,Thangamayil Jewellery Limited,THANGAMAYL.NS
1473,The Investment Trust Of India Limited,THEINVEST.NS
1474,Themis Medicare Limited,THEMISMED.NS
1475,Thermax Limited,THERMAX.NS
1476,Thiru Arooran Sugars Limited,THIRUSUGAR.NS
1477,"Thomas Cook 
(India)  Limited",THOMASCOOK.NS
1478,Thomas Scott (India) Limited,THOMASCOTT.NS
1479,Thyrocare Technologies Limited,THYROCARE.NS
1480,Tilaknagar Industries Limited,TI.NS
1481,Tide Water Oil Company (India) Limited,TIDEWATER.NS
1482,Technocraft Industries (India) Limited,TIIL.NS
1483,Tube Investments of India Limited,TIINDIA.NS
1484,Tijaria Polypipes Limited,TIJARIA.NS
1485,TIL Limited,TIL.NS
1486,Times Guaranty Limited,TIMESGTY.NS
1487,Time Technoplast Limited,TIMETECHNO.NS
1488,Timken India Limited,TIMKEN.NS
1489,The Tinplate Company of India Limited,TINPLATE.NS
1490,TIPS Industries Limited,TIPSINDLTD.NS
1491,Thirumalai Chemicals Limited,TIRUMALCHM.NS
1492,Titan Company Limited,TITAN.NS
1493,The Mandhana Retail Ventures Limited,TMRVL.NS
1494,Tamilnadu PetroProducts Limited,TNPETRO.NS
1495,Tamil Nadu Newsprint & Papers Limited,TNPL.NS
1496,Tamilnadu Telecommunication Limited,TNTELE.NS
1497,Tokyo Plast International Limited,TOKYOPLAST.NS
1498,Torrent Pharmaceuticals Limited,TORNTPHARM.NS
1499,Torrent Power Limited,TORNTPOWER.NS
1500,TPL Plastech Limited,TPLPLASTEH.NS
1501,Tree House Education & Accessories Limited,TREEHOUSE.NS
1502,TREJHARA SOLUTIONS LIMITED,TREJHARA.NS
1503,Trent Limited,TRENT.NS
1504,TRF Limited,TRF.NS
1505,Trident Limited,TRIDENT.NS
1506,Trigyn Technologies Limited,TRIGYN.NS
1507,Transformers And Rectifiers (India) Limited,TRIL.NS
1508,Triveni Turbine Limited,TRITURBINE.NS
1509,Triveni Engineering & Industries Limited,TRIVENI.NS
1510,TTK Healthcare Limited,TTKHLTCARE.NS
1511,TTK Prestige Limited,TTKPRESTIG.NS
1512,T T Limited,TTL.NS
1513,Tata Teleservices (Maharashtra) Limited,TTML.NS
1514,TV18 Broadcast Limited,TV18BRDCST.NS
1515,TVS Electronics Limited,TVSELECT.NS
1516,TVS Motor Company Limited,TVSMOTOR.NS
1517,TVS Srichakra Limited,TVSSRICHAK.NS
1518,TV Today Network Limited,TVTODAY.NS
1519,TV Vision Limited,TVVISION.NS
1520,Titagarh Wagons Limited,TWL.NS
1521,United Breweries Limited,UBL.NS
1522,Ucal Fuel Systems Limited,UCALFUEL.NS
1523,UCO Bank,UCOBANK.NS
1524,UFLEX Limited,UFLEX.NS
1525,UFO Moviez India Limited,UFO.NS
1526,The Ugar Sugar Works Limited,UGARSUGAR.NS
1527,Ujaas Energy Limited,UJAAS.NS
1528,Ujjivan Financial Services Limited,UJJIVAN.NS
1529,UltraTech Cement Limited,ULTRACEMCO.NS
1530,Umang Dairies Limited,UMANGDAIRY.NS
1531,Usha Martin Education & Solutions Limited,UMESLTD.NS
1532,Unichem Laboratories Limited,UNICHEMLAB.NS
1533,Uniphos Enterprises Limited,UNIENTER.NS
1534,Union Bank of India,UNIONBANK.NS
1535,Uniply Industries Limited,UNIPLY.NS
1536,Unitech Limited,UNITECH.NS
1537,United Bank of India,UNITEDBNK.NS
1538,The United Nilgiri Tea Estates Company Limited,UNITEDTEA.NS
1539,Unity Infraprojects Limited,UNITY.NS
1540,Universal Cables Limited,UNIVCABLES.NS
1541,UPL Limited,UPL.NS
1542,Urja Global Limited,URJA.NS
1543,Usha Martin Limited,USHAMART.NS
1544,Uttam Galva Steels Limited,UTTAMSTL.NS
1545,Uttam Sugar Mills Limited,UTTAMSUGAR.NS
1546,Uttam Value Steels Limited,UVSL.NS
1547,V2 Retail Limited,V2RETAIL.NS
1548,Vadilal Industries Limited,VADILALIND.NS
1549,Vaibhav Global Limited,VAIBHAVGBL.NS
1550,Vakrangee Limited,VAKRANGEE.NS
1551,Vardhman Acrylics Limited,VARDHACRLC.NS
1552,Vardhman Polytex Limited,VARDMNPOLY.NS
1553,Varroc Engineering Limited,VARROC.NS
1554,Vascon Engineers Limited,VASCONEQ.NS
1555,Vaswani Industries Limited,VASWANI.NS
1556,Varun Beverages Limited,VBL.NS
1557,Vedanta Limited,VEDL.NS
1558,Venky’s (India) Limited,VENKEYS.NS
1559,Venus Remedies Limited,VENUSREM.NS
1560,Vesuvius India Limited,VESUVIUS.NS
1561,Veto Switchgears And Cables Limited,VETO.NS
1562,V-Guard Industries Limited,VGUARD.NS
1563,Vardhman Holdings Limited,VHL.NS
1564,Viceroy Hotels Limited,VICEROY.NS
1565,Videocon Industries Limited,VIDEOIND.NS
1566,Vidhi Specialty Food Ingredients Limited,VIDHIING.NS
1567,Viji Finance Limited,VIJIFIN.NS
1568,Vikas EcoTech Limited,VIKASECO.NS
1569,Vikas Multicorp Limited,VIKASMCORP.NS
1570,Vikas Proppant & Granite Limited,VIKASPROP.NS
1571,Vikas WSP Limited,VIKASWSP.NS
1572,Vimal Oil & Foods Limited,VIMALOIL.NS
1573,Vimta Labs Limited,VIMTALABS.NS
1574,Vinati Organics Limited,VINATIORGA.NS
1575,Vindhya Telelinks Limited,VINDHYATEL.NS
1576,Vinyl Chemicals (India) Limited,VINYLINDIA.NS
1577,VIP Clothing Limited,VIPCLOTHNG.NS
1578,VIP Industries Limited,VIPIND.NS
1579,Vipul Limited,VIPULLTD.NS
1580,Visaka Industries Limited,VISAKAIND.NS
1581,Visa Steel Limited,VISASTEEL.NS
1582,Visesh Infotecnics Limited,VISESHINFO.NS
1583,Vishal Fabrics Limited,VISHAL.NS
1584,Vishnu Chemicals Limited,VISHNU.NS
1585,Vishwaraj Sugar Industries Limited,VISHWARAJ.NS
1586,Visagar Polytex Limited,VIVIDHA.NS
1587,Vivimed Labs Limited,VIVIMEDLAB.NS
1588,VLS Finance Limited,VLSFINANCE.NS
1589,V-Mart Retail Limited,VMART.NS
1590,Voltamp Transformers Limited,VOLTAMP.NS
1591,Voltas Limited,VOLTAS.NS
1592,VRL Logistics Limited,VRLLOG.NS
1593,Vardhman Special Steels Limited,VSSL.NS
1594,VST Industries Limited,VSTIND.NS
1595,V.S.T Tillers Tractors Limited,VSTTILLERS.NS
1596,Vardhman Textiles Limited,VTL.NS
1597,VA Tech Wabag Limited,WABAG.NS
1598,WABCO India Limited,WABCOINDIA.NS
1599,Walchandnagar Industries Limited,WALCHANNAG.NS
1600,Wanbury Limited,WANBURY.NS
1601,Waterbase Limited,WATERBASE.NS
1602,Websol Energy System Limited,WEBELSOLAR.NS
1603,Weizmann Forex Limited,WEIZFOREX.NS
1604,Weizmann Limited,WEIZMANIND.NS
1605,Welspun Corp Limited,WELCORP.NS
1606,Welspun Enterprises Limited,WELENT.NS
1607,Welspun Investments and Commercials Limited,WELINV.NS
1608,Welspun India Limited,WELSPUNIND.NS
1609,Wendt (India) Limited,WENDT.NS
1610,Westlife Development Ltd,WESTLIFE.NS
1611,Wheels India Limited,WHEELS.NS
1612,Whirlpool of India Limited,WHIRLPOOL.NS
1613,Williamson Magor & Company Limited,WILLAMAGOR.NS
1614,Windsor Machines Limited,WINDMACHIN.NS
1615,Winsome Yarns Limited,WINSOME.NS
1616,The Western India Plywoods Limited,WIPL.NS
1617,Wipro Limited,WIPRO.NS
1618,Wockhardt Limited,WOCKPHARMA.NS
1619,Wonderla Holidays Limited,WONDERLA.NS
1620,W S Industries (I) Limited,WSI.NS
1621,West Coast Paper Mills Limited,WSTCSTPAPR.NS
1622,Xchanging Solutions Limited,XCHANGING.NS
1623,Xelpmoc Design And Tech Limited,XELPMOC.NS
1624,XL Energy Limited,XLENERGY.NS
1625,Xpro India Limited,XPROINDIA.NS
1626,Yes Bank Limited,YESBANK.NS
1627,Zee Entertainment Enterprises Limited,ZEEL.NS
1628,Zee Learn Limited,ZEELEARN.NS
1629,Zee Media Corporation Limited,ZEEMEDIA.NS
1630,Zenith Birla (India) Limited,ZENITHBIR.NS
1631,Zenith Exports Limited,ZENITHEXPO.NS
1632,Zensar Technologies Limited,ZENSARTECH.NS
1633,Zen Technologies Limited,ZENTEC.NS
1634,Zicom Electronic Security Systems Limited,ZICOM.NS
1635,Zodiac Clothing Company Limited,ZODIACLOTH.NS
1636,Zodiac JRD- MKJ Limited,ZODJRDMKJ.NS
1637,Zota Health Care LImited,ZOTA.NS
1638,Zuari Agro Chemicals Limited,ZUARI.NS
1639,Zuari Global Limited,ZUARIGLOB.NS
1640,Zydus Wellness Limited,ZYDUSWELL.NS
