Date,High,Low,Open,Close,Volume,Adj Close,10 M M.A.
2009-12-31,574.9500122070312,509.04998779296875,546.6749877929688,523.0999755859375,293954930.0,444.8479309082031,
2010-01-31,1018.7999877929688,479.57501220703125,518.75,489.4750061035156,148426116.0,416.2530517578125,
2010-02-28,1091.3499755859375,489.70001220703125,979.2999877929688,537.125,191840304.0,456.77496337890625,
2010-03-31,1120.449951171875,506.0,539.0,516.7999877929688,172349196.0,439.49041748046875,
2010-04-30,546.7000122070312,488.0,513.0,522.7999877929688,217453436.0,444.5928649902344,
2010-05-31,546.9749755859375,497.54998779296875,521.6500244140625,544.9249877929688,185377484.0,469.776123046875,
2010-06-30,547.2249755859375,503.625,542.0,504.82501220703125,155750008.0,435.2062072753906,
2010-07-31,515.5,457.5,508.0,459.6000061035156,213216366.0,396.2180480957031,
2010-08-31,957.7999877929688,460.5,462.5249938964844,493.625,220053928.0,425.5508117675781,
2010-09-30,555.0,495.0,496.0,548.125,219787472.0,472.53485107421875,514.0399963378907
2010-10-31,1029.0,479.1499938964844,560.5,492.79998779296875,206611918.0,424.83953857421875,511.00999755859374
2010-11-30,1057.75,489.375,492.5,529.3499755859375,170979176.0,456.34906005859375,514.9974945068359
2010-12-31,958.4000244140625,451.0,532.5,459.6499938964844,204548372.0,396.2611389160156,507.2499938964844
2011-01-31,504.70001220703125,442.54998779296875,462.54998779296875,482.125,246646104.0,415.6367492675781,503.7824951171875
2011-02-28,991.2999877929688,482.0,486.8500061035156,524.5499877929688,197424416.0,452.21099853515625,503.9574951171875
2011-03-31,1039.25,485.0,524.5250244140625,491.875,128778294.0,424.0420837402344,498.6524963378906
2011-04-30,493.3999938964844,449.17498779296875,491.95001220703125,475.92498779296875,143677136.0,410.2917175292969,495.7624938964844
2011-05-31,483.5,414.04998779296875,476.0,449.25,170411504.0,393.9466857910156,494.7274932861328
2011-06-30,453.5,411.57501220703125,453.5,413.9750061035156,168997002.0,363.01416015625,486.7624938964844
2011-07-31,419.45001220703125,356.0,419.0,391.29998779296875,177054144.0,343.1304016113281,471.0799926757812
2011-08-31,429.5,373.7749938964844,398.3500061035156,404.17498779296875,250636518.0,354.42047119140625,462.2174926757813
2011-09-30,452.0,380.875,395.6000061035156,438.7749938964844,146314796.0,384.7611389160156,453.1599945068359
2011-10-31,452.5,375.5,435.25,389.125,159896602.0,341.2231750488281,446.1074951171875
2011-11-30,422.29998779296875,344.5,399.5,346.4750061035156,193264082.0,303.82342529296875,432.54249572753906
