Date,High,Low,Open,Close,Volume,Adj Close
2016-01-31,330.0,181.0,305.0,218.60000610351562,74400712.0,201.69161987304688
2016-02-29,260.5,183.5500030517578,186.25,217.6999969482422,30649181.0,200.86122131347656
2016-03-31,282.1000061035156,210.0,218.0,260.6499938964844,18233887.0,240.48910522460938
2016-04-30,278.8999938964844,198.0,261.1000061035156,228.75,12396689.0,211.0565185546875
2016-05-31,278.29998779296875,228.75,228.75,270.1000061035156,9686120.0,249.20819091796875
2016-06-30,297.25,249.5,273.70001220703125,274.8500061035156,8355123.0,253.59072875976562
2016-07-31,277.29998779296875,234.0,276.0,241.6999969482422,3893541.0,225.15118408203125
2016-08-31,243.4499969482422,209.35000610351562,242.0,218.9499969482422,2656569.0,203.95884704589844
2016-09-30,266.3500061035156,219.39999389648438,219.39999389648438,253.3000030517578,5415878.0,235.9569549560547
2016-10-31,262.5,201.0,258.0,235.5500030517578,3139081.0,219.42227172851562
2016-11-30,295.70001220703125,225.35000610351562,237.5,250.89999389648438,21682924.0,233.72128295898438
2016-12-31,282.29998779296875,248.60000610351562,251.10000610351562,267.75,9293931.0,249.4176025390625
2017-01-31,285.5,247.0,268.04998779296875,248.0500030517578,5255656.0,231.06643676757812
2017-02-28,251.4499969482422,232.1999969482422,248.35000610351562,236.3000030517578,3882677.0,220.12094116210938
2017-03-31,263.29998779296875,236.89999389648438,236.89999389648438,245.6999969482422,5351396.0,228.8773193359375
2017-04-30,248.6999969482422,201.0,245.6999969482422,209.0,4514367.0,194.6901092529297
2017-05-31,223.89999389648438,205.25,208.5,206.4499969482422,2874390.0,192.31471252441406
2017-06-30,231.5,201.10000610351562,206.0,212.85000610351562,4963770.0,198.27651977539062
2017-07-31,217.0,172.1999969482422,213.0,190.75,2681980.0,177.68966674804688
2017-08-31,205.5,176.3000030517578,190.9499969482422,178.8000030517578,2605314.0,168.55160522460938
2017-09-30,198.10000610351562,178.5500030517578,178.8000030517578,195.39999389648438,2260291.0,184.20013427734375
2017-10-31,234.5,186.10000610351562,196.0,225.60000610351562,8485424.0,212.6691436767578
2017-11-30,332.70001220703125,224.0500030517578,226.89999389648438,313.79998779296875,19328636.0,295.8136901855469
2017-12-31,404.0,300.0,315.0,337.70001220703125,36755365.0,318.3438415527344
2018-01-31,349.5,290.0,338.0,294.79998779296875,9671629.0,277.9027404785156
2018-02-28,313.0,256.29998779296875,292.0,266.20001220703125,6840718.0,250.9420623779297
2018-03-31,340.8999938964844,268.0,272.70001220703125,334.1000061035156,8588709.0,314.9501953125
2018-04-30,354.79998779296875,297.3500061035156,334.1000061035156,310.3500061035156,6184733.0,292.5614929199219
2018-05-31,311.8999938964844,262.8999938964844,311.79998779296875,272.3500061035156,3337439.0,256.73956298828125
2018-06-30,287.0,243.0,272.5,266.95001220703125,2331213.0,251.64907836914062
2018-07-31,286.79998779296875,251.10000610351562,266.0,280.75,3555321.0,267.6334228515625
2018-08-31,283.75,205.0,280.6000061035156,210.5,2330216.0,200.66549682617188
2018-09-30,215.6999969482422,180.60000610351562,212.0,201.4499969482422,2659243.0,192.03829956054688
2018-10-31,228.3000030517578,193.25,203.85000610351562,194.14999389648438,2338051.0,185.079345703125
2018-11-30,236.9499969482422,178.10000610351562,195.0,212.85000610351562,3590062.0,202.90570068359375
2018-12-31,217.9499969482422,183.75,214.39999389648438,188.75,1457941.0,179.931640625
2019-01-31,222.0,171.10000610351562,188.75,216.3000030517578,3611692.0,206.19451904296875
2019-02-28,240.0,215.0,217.0,225.35000610351562,3392932.0,214.82171630859375
2019-03-31,239.9499969482422,208.0,225.0,208.89999389648438,3332010.0,199.14024353027344
2019-04-30,227.8000030517578,165.60000610351562,208.89999389648438,189.1999969482422,3719513.0,180.36062622070312
2019-05-31,193.64999389648438,150.10000610351562,188.0,167.75,1927145.0,159.9127655029297
2019-06-30,170.35000610351562,119.30000305175781,167.0,122.5999984741211,1993739.0,116.87215423583984
2019-07-31,135.6999969482422,100.05000305175781,122.5,112.80000305175781,2243384.0,108.83341217041016
2019-08-31,146.60000610351562,105.55000305175781,112.80000305175781,131.0500030517578,8400090.0,126.441650390625
2019-09-30,135.85000610351562,113.0,132.3000030517578,132.10000610351562,2208602.0,127.4547348022461
2019-10-31,146.8000030517578,125.5999984741211,135.60000610351562,130.35000610351562,5216362.0,125.76627349853516
2019-11-30,141.3000030517578,123.0,131.0,127.30000305175781,4648800.0,122.82351684570312
2019-12-31,147.35000610351562,124.94999694824219,127.5,125.75,6140218.0,121.3280258178711
2020-01-31,133.0,111.44999694824219,125.0,113.75,4890036.0,109.75
2020-02-29,119.0,63.099998474121094,113.25,80.8499984741211,3984205.0,78.00691986083984
2020-03-31,124.4000015258789,79.0,82.80000305175781,117.5999984741211,9664296.0,117.5999984741211
2020-04-30,120.55000305175781,98.0,113.5,102.5999984741211,5443146.0,102.5999984741211
2020-05-31,125.69999694824219,100.19999694824219,103.5999984741211,115.80000305175781,10588908.0,115.80000305175781
2020-06-30,127.4000015258789,110.0999984741211,116.5999984741211,110.55000305175781,13014477.0,110.55000305175781
2020-07-31,146.0,109.94999694824219,110.80000305175781,125.80000305175781,18883615.0,125.80000305175781
